propertyid,price,township,neighborhood,censustract,community,zipcode,homeowner,white,black,asian,hispanic,college,medhinc,poverty,walls,rooms,beds,basement,basementfin,centralheat,otherheat,ac,fireplaces,attic,atticfin,fullbathrooms,halfbathrooms,garagesize,garageconstruction,garageattached,porch,squarefoot,age
1,,"13","1324",843700,"North Center",60618,0,.782239,.0500709,.1346245,.2437411,.4681247,79688,.102839,"Wood frame",5,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","Wood",1243,95
2,,"19","1915",640100,"Clearing",60629,1,.639967,.0429397,.2906689,.6218002,.0634779,36689,.083147,"Wood frame",4,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1127,93
3,,"25","2511",500100,"Pullman",60628,0,.0065862,.9802415,.0021954,.0098793,.0940656,47381,.145248,"Masonry",5,2,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1082,59
4,,"13","1316",150300,"Portage Park",60641,0,.8099472,.0125035,.1380939,.2609058,.1734228,55551,.109049,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1524,78
5,,"13","1310",140400,"Albany Park",60630,1,.5903013,.0174871,.3357825,.3256429,.195022,43628,.15022,"Masonry",4,2,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Wood",815,82
6,,"13","1317",150402,"Portage Park",60634,0,.768914,.0102934,.1793618,.3149768,.1144728,58125,.111853,"Wood frame",4,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",1176,82
7,,"14","1431",832200,"Logan Square",60647,1,.8704082,.0190476,.0823129,.1394558,.6315789,89420,.075141,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","N/A",1167,108
8,,"10","1036",20601,"West Ridge",60645,1,.6151425,.0478514,.2836455,.15898,.2035811,43047,.276708,"Masonry",7,4,"Partial basement","Formal rec-room","Warm air","None","Yes",0,"None",0,1,1,0,"N/A",0,"N/A",1224,43
9,,"13","1320",150600,"Portage Park",60634,1,.7578669,.0120106,.1871247,.3713668,.1617816,60609,.097274,"Wood frame",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",882,87
10,,"12","1224",170500,"Dunning",60634,1,.8819277,.0084337,.0849398,.1923695,.1836629,77802,.053422,"Wood frame and masonry",5,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",975,65
