propertyid,pred
1,640695.77
2,173970.32
3,112217.03
4,302688.65
5,301480.31
6,265298.26
7,532985.77
8,285266.75
9,244798.33
10,236343.14
11,1260564.25
12,158488.93
13,377482.69
14,236232.08
15,982700.82
16,228054.52
17,224167.76
18,499418.65
19,236097.47
20,177357.01
21,219430.32
22,644171.32
23,172895.04
24,169413.88
25,113624.00
26,405874.79
27,251319.42
28,351832.33
29,200947.71
30,336075.12
31,178413.65
32,300303.83
33,167860.74
34,112994.00
35,250203.53
36,305629.85
37,185629.87
38,510706.33
39,210020.41
40,595359.08
41,1199937.46
42,273071.79
43,396824.74
44,226006.72
45,160861.66
46,140571.28
47,370448.61
48,126637.00
49,196258.90
50,594169.55
51,450381.37
52,276523.20
53,216724.01
54,486260.61
55,425597.78
56,768464.77
57,375018.26
58,182500.83
59,134459.73
60,361938.65
61,197582.20
62,163907.91
63,226323.35
64,251674.03
65,174753.20
66,269251.19
67,157551.87
68,144193.29
69,338087.49
70,227539.70
71,268672.92
72,147545.22
73,161085.41
74,537750.51
75,328903.61
76,324126.78
77,151601.40
78,150706.57
79,400060.07
80,323365.97
81,204041.77
82,802646.76
83,221515.98
84,161855.62
85,165244.26
86,141281.55
87,371476.17
88,278064.95
89,871926.14
90,399304.67
91,548981.49
92,229124.32
93,214036.11
94,295327.44
95,225889.22
96,144034.77
97,134442.25
98,239500.31
99,229792.04
100,203054.56
101,189061.95
102,265980.96
103,272433.55
104,279881.06
105,133019.37
106,605663.60
107,316861.48
108,198656.01
109,678561.23
110,279570.56
111,255153.35
112,121882.17
113,2144570.81
114,165770.57
115,508560.77
116,507412.72
117,515230.68
118,177767.18
119,136251.81
120,171471.10
121,133030.01
122,413879.44
123,352089.26
124,161508.01
125,2196904.76
126,286244.04
127,473866.07
128,275843.79
129,412652.04
130,322910.35
131,592259.40
132,144630.86
133,631952.81
134,237290.40
135,219160.58
136,528099.50
137,305077.16
138,470574.70
139,262076.05
140,174026.00
141,196919.44
142,204720.31
143,184150.75
144,539965.22
145,363269.40
146,873261.21
147,831852.15
148,118170.05
149,108351.95
150,227221.37
151,326857.64
152,264437.45
153,171491.67
154,403140.33
155,173256.77
156,145437.25
157,258455.81
158,261759.13
159,796904.40
160,634815.70
161,207409.42
162,204720.31
163,142269.72
164,266082.05
165,695175.77
166,150213.07
167,110610.47
168,187152.67
169,622114.85
170,1064132.00
171,768334.14
172,497395.12
173,761846.22
174,142306.72
175,1033095.30
176,207104.75
177,173893.79
178,198437.61
179,231179.56
180,208465.74
181,178901.38
182,290604.93
183,340482.84
184,210432.45
185,595275.74
186,510828.91
187,654214.13
188,650645.35
189,250970.33
190,284916.09
191,153738.75
192,327453.06
193,1045901.76
194,204125.44
195,496277.24
196,299646.88
197,283101.28
198,414426.12
199,144271.18
200,145227.97
201,131353.84
202,328903.61
203,158140.63
204,193718.24
205,1219693.31
206,366692.90
207,252619.58
208,226724.30
209,135474.67
210,509278.35
211,294763.91
212,261753.89
213,252014.02
214,240763.40
215,228808.34
216,276130.82
217,214100.33
218,169315.65
219,285572.15
220,347465.27
221,354651.18
222,253368.44
223,430223.45
224,188424.00
225,482439.11
226,658256.53
227,210346.20
228,584814.51
229,317426.00
230,299431.21
231,316668.26
232,204509.56
233,223125.57
234,319090.49
235,451531.31
236,1466765.21
237,238320.10
238,264366.06
239,338070.59
240,718988.04
241,397881.70
242,175523.81
243,381661.74
244,611340.89
245,693377.60
246,271351.42
247,194944.46
248,139723.40
